Date,Name / Description,Expense/Income,Amount (EUR),Transaction vs category,Transaction,Category
2023-11-04,Salary,Income,4.5,1. Salary - Income,1. Salary,Income
2023-11-05,YouTube Revenue,Income,1.2,2. YouTube Revenue - Business,2. YouTube Revenue,Business
2023-11-06,Anime Streaming Subscriptions,Expense,50.0,3. Anime Streaming Subscriptions - Entertainment,3. Anime Streaming Subscriptions,Entertainment
2023-11-07,Book Purchases,Expense,80.0,4. Book Purchases - Entertainment,4. Book Purchases,Entertainment
2023-11-08,Rent,Expense,1.2,5. Rent - Housing,5. Rent,Housing
2023-11-09,Travel,Expense,20.0,6. Travel - Transportation,6. Travel,Transportation
2023-11-10,Gym,Expense,20.0,7. Gym - Health & Fitness,7. Gym,Health & Fitness
2023-11-11,Transportation,Expense,30.0,8. Transportation - Transportation,8. Transportation,Transportation
2023-11-12,Miscellaneous,Expense,100.0,9. Miscellaneous - Miscellaneous,9. Miscellaneous,Miscellaneous
2023-11-13,Gifts/Charity,Expense,40.0,10. Gifts/Charity - Charitable Contributions,10. Gifts/Charity,Charitable Contributions
2023-11-14,Home Office Supplies,Expense,500.0,11. Home Office Supplies - Office,11. Home Office Supplies,Office
2024-01-01,Sponsorship Deals,Income,800.0,12. Sponsorship Deals - Business,12. Sponsorship Deals,Business
2024-01-02,Freelance Tech Projects,Income,600.0,13. Freelance Tech Projects - Business,13. Freelance Tech Projects,Business
2024-01-03,Travel,Expense,700.0,14. Tech Gadgets/Upgrades - Technology,14. Tech Gadgets/Upgrades,Technology
2024-01-04,Anime Streaming Subscriptions,Expense,50.0,15. Food Delivery - Food & Beverage,15. Food Delivery,Food & Beverage
2024-01-05,Book Purchases,Expense,80.0,16. Rent/Mortgage - Housing,16. Rent/Mortgage,Housing
2024-01-06,Tech Gadgets/Upgrades,Expense,300.0,17. Utilities - Utilities,17. Utilities,Utilities
2024-01-07,Food Delivery,Expense,500.0,18. Anime movie - Entertainment,18. Anime movie,Entertainment
2024-01-08,Rent/Mortgage,Expense,1.2,19. Health & Fitness - Health & Fitness,19. Health & Fitness,Health & Fitness
2024-01-09,Utilities,Expense,200.0,"20. Software Subscriptions (e.g., for tech tools) - Technology","20. Software Subscriptions (e.g., for tech tools)",Technology
2024-01-10,Transportation,Expense,150.0,"21. YouTube Equipment (camera, microphone) - Technology","21. YouTube Equipment (camera, microphone)",Technology
2024-01-11,Anime movie,Expense,100.0,22. Anime Merchandise - Shopping,22. Anime Merchandise,Shopping
2024-01-12,Health & Fitness,Expense,100.0,23. Book Club Membership - Entertainment,23. Book Club Membership,Entertainment
2024-01-13,Miscellaneous,Expense,100.0,24. Data Plan/Internet - Technology,24. Data Plan/Internet,Technology
2024-01-14,"Software Subscriptions (e.g., for tech tools)",Expense,50.0,25. Conference/Workshop Fees - Business,25. Conference/Workshop Fees,Business
2024-01-15,"YouTube Equipment (camera, microphone)",Expense,150.0,26. Monthly Salary - Income,26. Monthly Salary,Income
2024-01-16,Anime Merchandise,Expense,40.0,27. Miscellaneous Expenses - Miscellaneous,27. Miscellaneous Expenses,Miscellaneous
2024-01-17,Book Club Membership,Expense,20.0,28. Insurance (Health/Property) - Finance,28. Insurance (Health/Property),Finance
2024-01-18,Data Plan/Internet,Expense,60.0,29. Streaming Services (Other than anime) - Entertainment,29. Streaming Services (Other than anime),Entertainment
2024-01-19,Conference/Workshop Fees,Expense,100.0,30. Mobile Phone Plan - Communication,30. Mobile Phone Plan,Communication
2024-01-20,Gifts/Charity,Expense,50.0,1. Dining Out (Restaurants/Cafes) - Food & Beverage,1. Dining Out (Restaurants/Cafes),Food & Beverage
2024-01-21,Home Office Supplies,Expense,30.0,2. Hobbies (Non-tech related) - Leisure,2. Hobbies (Non-tech related),Leisure
2024-01-22,Monthly Salary,Income,4.5,3. Clothing & Accessories - Fashion,3. Clothing & Accessories,Fashion
2024-01-23,YouTube Revenue,Income,1.2,"4. Personal Care (Salon, etc.) - Grooming","4. Personal Care (Salon, etc.)",Grooming
2024-01-24,Sponsorship Deals,Income,800.0,5. Savings/Investments - Financial Planning,5. Savings/Investments,Financial Planning
